epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.6022,1.43241,4.73781,1.54704,0,0,0,0,0.98687,4.89113,1.31285,2.714e-05,2.714e-05,2.714e-05
2,255.71,1.30905,4.32403,1.45414,0,0,0,0,0.94642,4.6098,1.2648,5.43619e-05,5.43619e-05,5.43619e-05
3,377.069,1.32708,3.59273,1.47677,0.32707,0.97856,0.56954,0.38867,1.04863,3.18424,1.32369,8.04623e-05,8.04623e-05,8.04623e-05
4,489.012,1.3432,2.87371,1.52232,0.49009,0.88459,0.60523,0.41209,1.11405,2.29442,1.38439,0.000105441,0.000105441,0.000105441
5,618.68,1.35622,2.41956,1.54458,0.53266,0.77654,0.62517,0.4286,1.13927,2.38812,1.39615,0.000108654,0.000108654,0.000108654
6,721.408,1.3262,2.12988,1.54056,0.49837,0.88685,0.61666,0.41152,1.19661,2.23419,1.44689,0.000106318,0.000106318,0.000106318
7,826.37,1.31631,1.98036,1.5297,0.61449,0.73342,0.7273,0.47477,1.20639,2.126,1.44404,0.000103982,0.000103982,0.000103982
8,929.68,1.31283,1.87385,1.51975,0.61877,0.75312,0.75413,0.49984,1.15413,2.07247,1.42304,0.000101645,0.000101645,0.000101645
9,1032.24,1.28745,1.79273,1.49416,0.69548,0.72956,0.78785,0.52516,1.15362,1.9999,1.42942,9.93088e-05,9.93088e-05,9.93088e-05
10,1134.8,1.28147,1.74755,1.49705,0.73054,0.75347,0.84946,0.56041,1.13657,1.85604,1.39949,9.69724e-05,9.69724e-05,9.69724e-05
11,1237.24,1.25654,1.67484,1.47141,0.75943,0.81736,0.87098,0.56612,1.14563,1.82616,1.39272,9.4636e-05,9.4636e-05,9.4636e-05
12,1338.84,1.19744,1.61951,1.44002,0.74591,0.84355,0.88353,0.58417,1.09514,1.74946,1.37762,9.22996e-05,9.22996e-05,9.22996e-05
13,1441.16,1.21259,1.58889,1.46336,0.82451,0.81869,0.89427,0.56009,1.15053,1.73232,1.41536,8.99632e-05,8.99632e-05,8.99632e-05
14,1542.97,1.1797,1.50894,1.42361,0.79288,0.86276,0.90775,0.60537,1.08678,1.66064,1.36961,8.76268e-05,8.76268e-05,8.76268e-05
15,1645.29,1.18676,1.49012,1.41938,0.85209,0.82661,0.91171,0.59563,1.10172,1.63413,1.38122,8.52904e-05,8.52904e-05,8.52904e-05
16,1749,1.18008,1.47528,1.42588,0.84611,0.8366,0.90681,0.60876,1.07397,1.63884,1.35296,8.2954e-05,8.2954e-05,8.2954e-05
17,2163.77,1.17188,1.43157,1.41177,0.84874,0.84636,0.91865,0.61169,1.06608,1.59267,1.34522,8.06176e-05,8.06176e-05,8.06176e-05
18,2253.06,1.1271,1.4208,1.3825,0.70658,0.86771,0.89338,0.61485,1.05212,1.72006,1.33252,7.82812e-05,7.82812e-05,7.82812e-05
19,2342.93,1.13336,1.36595,1.38094,0.85118,0.87656,0.92216,0.62261,1.06701,1.50781,1.33398,7.59448e-05,7.59448e-05,7.59448e-05
20,2432.91,1.12637,1.35023,1.35937,0.8458,0.90022,0.93506,0.63969,1.0485,1.55024,1.32318,7.36084e-05,7.36084e-05,7.36084e-05
21,2524.09,1.10964,1.35003,1.3581,0.85005,0.81473,0.92372,0.63761,1.06389,1.64434,1.34556,7.1272e-05,7.1272e-05,7.1272e-05
22,2617.15,1.13882,1.35741,1.3715,0.8183,0.90122,0.9315,0.63055,1.07105,1.49347,1.33379,6.89356e-05,6.89356e-05,6.89356e-05
23,2710.36,1.08735,1.29302,1.33872,0.8325,0.92031,0.94458,0.65345,1.05831,1.43431,1.31617,6.65992e-05,6.65992e-05,6.65992e-05
24,2804.06,1.10597,1.26324,1.35815,0.86604,0.91493,0.9484,0.65978,1.05229,1.4107,1.31096,6.42628e-05,6.42628e-05,6.42628e-05
25,2899.94,1.10993,1.26383,1.36683,0.8473,0.866,0.93766,0.66631,1.02616,1.48892,1.2929,6.19264e-05,6.19264e-05,6.19264e-05
26,3000.41,1.11925,1.24612,1.33401,0.86869,0.85239,0.94472,0.63895,1.08631,1.4532,1.32357,5.959e-05,5.959e-05,5.959e-05
27,3099.35,1.08046,1.25046,1.33844,0.84441,0.81676,0.92632,0.65499,1.03184,1.48962,1.30582,5.72536e-05,5.72536e-05,5.72536e-05
28,3202.04,1.05206,1.20219,1.31686,0.82102,0.89254,0.94346,0.67504,1.01789,1.41794,1.30421,5.49172e-05,5.49172e-05,5.49172e-05
29,3334.71,1.07755,1.20398,1.3225,0.90955,0.88199,0.95527,0.66082,1.06467,1.37226,1.32483,5.25808e-05,5.25808e-05,5.25808e-05
30,3471.67,1.07664,1.21067,1.33437,0.80397,0.92664,0.94037,0.67694,1.01934,1.36238,1.28416,5.02444e-05,5.02444e-05,5.02444e-05
31,3598.71,1.06481,1.18896,1.31878,0.88526,0.92243,0.96157,0.68913,1.01516,1.32445,1.28775,4.7908e-05,4.7908e-05,4.7908e-05
32,3709.34,1.04946,1.23409,1.32851,0.84966,0.91896,0.95773,0.68047,1.01387,1.33839,1.28402,4.55716e-05,4.55716e-05,4.55716e-05
33,3838.33,1.05391,1.18233,1.31819,0.83216,0.88065,0.93958,0.67493,1.0029,1.37894,1.28278,4.32352e-05,4.32352e-05,4.32352e-05
34,3960.25,1.0397,1.17438,1.30925,0.8475,0.92562,0.95751,0.68392,1.00978,1.32593,1.28681,4.08988e-05,4.08988e-05,4.08988e-05
35,4103.12,1.04446,1.18039,1.32156,0.91514,0.81946,0.94954,0.68282,1.00129,1.34896,1.27902,3.85624e-05,3.85624e-05,3.85624e-05
36,4225.38,1.05643,1.18278,1.33349,0.89049,0.91076,0.9589,0.69139,1.00361,1.29797,1.27593,3.6226e-05,3.6226e-05,3.6226e-05
37,4363.28,1.04251,1.17851,1.30863,0.87659,0.92392,0.95791,0.68736,1.01077,1.29899,1.28205,3.38896e-05,3.38896e-05,3.38896e-05
38,4535.13,1.05791,1.16475,1.31912,0.86504,0.90083,0.95427,0.6859,1.00012,1.29535,1.27639,3.15532e-05,3.15532e-05,3.15532e-05
39,4702.18,1.0393,1.14084,1.29739,0.89128,0.90864,0.95884,0.69194,0.99635,1.27924,1.2722,2.92168e-05,2.92168e-05,2.92168e-05
40,4873.68,1.03937,1.16399,1.29933,0.90098,0.90458,0.96117,0.68751,1.0172,1.26767,1.27978,2.68804e-05,2.68804e-05,2.68804e-05
41,5035.44,0.94685,1.25334,1.27635,0.82441,0.92005,0.95765,0.68525,0.99796,1.27628,1.27729,2.4544e-05,2.4544e-05,2.4544e-05
42,5200.32,0.90067,1.11517,1.21291,0.7882,0.94467,0.95057,0.67524,1.01258,1.30229,1.28741,2.22076e-05,2.22076e-05,2.22076e-05
43,5362.63,0.87794,1.09785,1.20912,0.92697,0.85023,0.96073,0.67276,1.01044,1.25561,1.27946,1.98712e-05,1.98712e-05,1.98712e-05
44,5521.93,0.87009,1.08595,1.18268,0.90548,0.88318,0.96113,0.6714,1.01809,1.2391,1.27904,1.75348e-05,1.75348e-05,1.75348e-05
45,5676.61,0.89589,1.07567,1.21381,0.90927,0.89104,0.95787,0.67044,1.02594,1.23507,1.28485,1.51984e-05,1.51984e-05,1.51984e-05
